asset_type,entity_id,display_name,superstar_id,set_id,primary_image_path,base_plate_path,notes
superstar-menu,seth-rollins,Seth Rollins,seth-rollins,summerslam-series-1,assets/images/seth-rollins-menu.webp,,Canonical menu/hero image
superstar-headshot,seth-rollins,Seth Rollins,seth-rollins,summerslam-series-1,assets/images/seth-rollins-headshot.webp,,Canonical compact headshot
superstar-full,andre-the-giant,André the Giant,andre-the-giant,golden-era-series-1,assets/images/andre-the-giant-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,andre-the-giant,André the Giant,andre-the-giant,golden-era-series-1,assets/images/andre-the-giant-menu.webp,,Canonical menu/hero image
superstar-headshot,andre-the-giant,André the Giant,andre-the-giant,golden-era-series-1,assets/images/andre-the-giant-headshot.webp,,Canonical compact headshot
superstar-full,stephanie-vaquer,Stephanie Vaquer,stephanie-vaquer,evolution-series-1,assets/images/stephanie-vaquer-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,stephanie-vaquer,Stephanie Vaquer,stephanie-vaquer,evolution-series-1,assets/images/stephanie-vaquer-menu.webp,,Canonical menu/hero image
superstar-headshot,stephanie-vaquer,Stephanie Vaquer,stephanie-vaquer,evolution-series-1,assets/images/stephanie-vaquer-headshot.webp,,Canonical compact headshot
superstar-full,randy-savage,Randy Savage,randy-savage,golden-era-series-1,assets/images/randy-savage-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,randy-savage,Randy Savage,randy-savage,golden-era-series-1,assets/images/randy-savage-menu.webp,,Canonical menu/hero image
superstar-headshot,randy-savage,Randy Savage,randy-savage,golden-era-series-1,assets/images/randy-savage-headshot.webp,,Canonical compact headshot
superstar-full,roman-reigns,Roman Reigns,roman-reigns,summerslam-series-1,assets/images/roman-reigns-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,roman-reigns,Roman Reigns,roman-reigns,summerslam-series-1,assets/images/roman-reigns-menu.webp,,Canonical menu/hero image
superstar-headshot,roman-reigns,Roman Reigns,roman-reigns,summerslam-series-1,assets/images/roman-reigns-headshot.webp,,Canonical compact headshot
superstar-full,charlotte-flair,Charlotte Flair,charlotte-flair,evolution-series-1,assets/images/charlotte-flair-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,charlotte-flair,Charlotte Flair,charlotte-flair,evolution-series-1,assets/images/charlotte-flair-menu.webp,,Canonical menu/hero image
superstar-headshot,charlotte-flair,Charlotte Flair,charlotte-flair,evolution-series-1,assets/images/charlotte-flair-headshot.webp,,Canonical compact headshot
superstar-full,kevin-owens,Kevin Owens,kevin-owens,summerslam-series-1,assets/images/kevin-owens-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,kevin-owens,Kevin Owens,kevin-owens,summerslam-series-1,assets/images/kevin-owens-menu.webp,,Canonical menu/hero image
superstar-headshot,kevin-owens,Kevin Owens,kevin-owens,summerslam-series-1,assets/images/kevin-owens-headshot.webp,,Canonical compact headshot
superstar-full,kane,Kane,kane,attitude-era-series-1,assets/images/kane-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,kane,Kane,kane,attitude-era-series-1,assets/images/kane-menu.webp,,Canonical menu/hero image
superstar-headshot,kane,Kane,kane,attitude-era-series-1,assets/images/kane-headshot.webp,,Canonical compact headshot
superstar-full,the-undertaker,The Undertaker,the-undertaker,attitude-era-series-1,assets/images/the-undertaker-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,the-undertaker,The Undertaker,the-undertaker,attitude-era-series-1,assets/images/the-undertaker-menu.webp,,Canonical menu/hero image
superstar-headshot,the-undertaker,The Undertaker,the-undertaker,attitude-era-series-1,assets/images/the-undertaker-headshot.webp,,Canonical compact headshot
superstar-full,ultimate-warrior,Ultimate Warrior,ultimate-warrior,golden-era-series-1,assets/images/ultimate-warrior-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,ultimate-warrior,Ultimate Warrior,ultimate-warrior,golden-era-series-1,assets/images/ultimate-warrior-menu.webp,,Canonical menu/hero image
superstar-headshot,ultimate-warrior,Ultimate Warrior,ultimate-warrior,golden-era-series-1,assets/images/ultimate-warrior-headshot.webp,,Canonical compact headshot
superstar-full,rhea-ripley,Rhea Ripley,rhea-ripley,evolution-series-1,assets/images/rhea-ripley-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,rhea-ripley,Rhea Ripley,rhea-ripley,evolution-series-1,assets/images/rhea-ripley-menu.webp,,Canonical menu/hero image
superstar-headshot,rhea-ripley,Rhea Ripley,rhea-ripley,evolution-series-1,assets/images/rhea-ripley-headshot.webp,,Canonical compact headshot
superstar-full,cody-rhodes,Cody Rhodes,cody-rhodes,summerslam-series-1,assets/images/cody-rhodes-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,cody-rhodes,Cody Rhodes,cody-rhodes,summerslam-series-1,assets/images/cody-rhodes-menu.webp,,Canonical menu/hero image
superstar-headshot,cody-rhodes,Cody Rhodes,cody-rhodes,summerslam-series-1,assets/images/cody-rhodes-headshot.webp,,Canonical compact headshot
superstar-full,oba-femi,Oba Femi,oba-femi,summerslam-series-1,assets/images/oba-femi-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,oba-femi,Oba Femi,oba-femi,summerslam-series-1,assets/images/oba-femi-menu.webp,,Canonical menu/hero image
superstar-headshot,oba-femi,Oba Femi,oba-femi,summerslam-series-1,assets/images/oba-femi-headshot.webp,,Canonical compact headshot
superstar-full,stone-cold-steve-austin,Stone Cold Steve Austin,stone-cold-steve-austin,attitude-era-series-1,assets/images/stone-cold-steve-austin-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,stone-cold-steve-austin,Stone Cold Steve Austin,stone-cold-steve-austin,attitude-era-series-1,assets/images/stone-cold-steve-austin-menu.webp,,Canonical menu/hero image
superstar-headshot,stone-cold-steve-austin,Stone Cold Steve Austin,stone-cold-steve-austin,attitude-era-series-1,assets/images/stone-cold-steve-austin-headshot.webp,,Canonical compact headshot
superstar-full,liv-morgan,Liv Morgan,liv-morgan,evolution-series-1,assets/images/liv-morgan-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,liv-morgan,Liv Morgan,liv-morgan,evolution-series-1,assets/images/liv-morgan-menu.webp,,Canonical menu/hero image
superstar-headshot,liv-morgan,Liv Morgan,liv-morgan,evolution-series-1,assets/images/liv-morgan-headshot.webp,,Canonical compact headshot
superstar-full,brock-lesnar,Brock Lesnar,brock-lesnar,summerslam-series-1,assets/images/brock-lesnar-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,brock-lesnar,Brock Lesnar,brock-lesnar,summerslam-series-1,assets/images/brock-lesnar-menu.webp,,Canonical menu/hero image
superstar-headshot,brock-lesnar,Brock Lesnar,brock-lesnar,summerslam-series-1,assets/images/brock-lesnar-headshot.webp,,Canonical compact headshot
superstar-full,gunther,Gunther,gunther,summerslam-series-1,assets/images/gunther-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,gunther,Gunther,gunther,summerslam-series-1,assets/images/gunther-menu.webp,,Canonical menu/hero image
superstar-headshot,gunther,Gunther,gunther,summerslam-series-1,assets/images/gunther-headshot.webp,,Canonical compact headshot
superstar-full,becky-lynch,Becky Lynch,becky-lynch,evolution-series-1,assets/images/becky-lynch-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,becky-lynch,Becky Lynch,becky-lynch,evolution-series-1,assets/images/becky-lynch-menu.webp,,Canonical menu/hero image
superstar-headshot,becky-lynch,Becky Lynch,becky-lynch,evolution-series-1,assets/images/becky-lynch-headshot.webp,,Canonical compact headshot
superstar-full,logan-paul,Logan Paul,logan-paul,raw-series-1,assets/images/logan-paul-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,logan-paul,Logan Paul,logan-paul,raw-series-1,assets/images/logan-paul-menu.webp,,Canonical menu/hero image
superstar-headshot,logan-paul,Logan Paul,logan-paul,raw-series-1,assets/images/logan-paul-headshot.webp,,Canonical compact headshot
superstar-full,sol-ruca,Sol Ruca,sol-ruca,raw-series-1,assets/images/sol-ruca-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,sol-ruca,Sol Ruca,sol-ruca,raw-series-1,assets/images/sol-ruca-menu.webp,,Canonical menu/hero image
superstar-headshot,sol-ruca,Sol Ruca,sol-ruca,raw-series-1,assets/images/sol-ruca-headshot.webp,,Canonical compact headshot
superstar-full,chad-gable,Chad Gable,chad-gable,raw-series-1,assets/images/chad-gable-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,chad-gable,Chad Gable,chad-gable,raw-series-1,assets/images/chad-gable-menu.webp,,Canonical menu/hero image
superstar-headshot,chad-gable,Chad Gable,chad-gable,raw-series-1,assets/images/chad-gable-headshot.webp,,Canonical compact headshot
superstar-full,raquel-rodriguez,Raquel Rodriguez,raquel-rodriguez,raw-series-1,assets/images/raquel-rodriguez-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,raquel-rodriguez,Raquel Rodriguez,raquel-rodriguez,raw-series-1,assets/images/raquel-rodriguez-menu.webp,,Canonical menu/hero image
superstar-headshot,raquel-rodriguez,Raquel Rodriguez,raquel-rodriguez,raw-series-1,assets/images/raquel-rodriguez-headshot.webp,,Canonical compact headshot
superstar-full,rey-mysterio,Rey Mysterio,rey-mysterio,worlds-collide-series-1,assets/images/rey-mysterio-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,rey-mysterio,Rey Mysterio,rey-mysterio,worlds-collide-series-1,assets/images/rey-mysterio-menu.webp,,Canonical menu/hero image
superstar-headshot,rey-mysterio,Rey Mysterio,rey-mysterio,worlds-collide-series-1,assets/images/rey-mysterio-headshot.webp,,Canonical compact headshot
superstar-full,dominik-mysterio,Dominik Mysterio,dominik-mysterio,worlds-collide-series-1,assets/images/dominik-mysterio-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,dominik-mysterio,Dominik Mysterio,dominik-mysterio,worlds-collide-series-1,assets/images/dominik-mysterio-menu.webp,,Canonical menu/hero image
superstar-headshot,dominik-mysterio,Dominik Mysterio,dominik-mysterio,worlds-collide-series-1,assets/images/dominik-mysterio-headshot.webp,,Canonical compact headshot
superstar-full,penta,Penta,penta,worlds-collide-series-1,assets/images/penta-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,penta,Penta,penta,worlds-collide-series-1,assets/images/penta-menu.webp,,Canonical menu/hero image
superstar-headshot,penta,Penta,penta,worlds-collide-series-1,assets/images/penta-headshot.webp,,Canonical compact headshot
superstar-full,el-grande-americano,El Grande Americano,el-grande-americano,worlds-collide-series-1,assets/images/el-grande-americano-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,el-grande-americano,El Grande Americano,el-grande-americano,worlds-collide-series-1,assets/images/el-grande-americano-menu.webp,,Canonical menu/hero image
superstar-headshot,el-grande-americano,El Grande Americano,el-grande-americano,worlds-collide-series-1,assets/images/el-grande-americano-headshot.webp,,Canonical compact headshot
superstar-full,jey-uso,Jey Uso,jey-uso,money-in-the-bank-series-1,assets/images/jey-uso-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,jey-uso,Jey Uso,jey-uso,money-in-the-bank-series-1,assets/images/jey-uso-menu.webp,,Canonical menu/hero image
superstar-headshot,jey-uso,Jey Uso,jey-uso,money-in-the-bank-series-1,assets/images/jey-uso-headshot.webp,,Canonical compact headshot
superstar-full,la-knight,LA Knight,la-knight,money-in-the-bank-series-1,assets/images/la-knight-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,la-knight,LA Knight,la-knight,money-in-the-bank-series-1,assets/images/la-knight-menu.webp,,Canonical menu/hero image
superstar-headshot,la-knight,LA Knight,la-knight,money-in-the-bank-series-1,assets/images/la-knight-headshot.webp,,Canonical compact headshot
superstar-full,alexa-bliss,Alexa Bliss,alexa-bliss,money-in-the-bank-series-1,assets/images/alexa-bliss-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,alexa-bliss,Alexa Bliss,alexa-bliss,money-in-the-bank-series-1,assets/images/alexa-bliss-menu.webp,,Canonical menu/hero image
superstar-headshot,alexa-bliss,Alexa Bliss,alexa-bliss,money-in-the-bank-series-1,assets/images/alexa-bliss-headshot.webp,,Canonical compact headshot
superstar-full,finn-balor,Finn Bálor,finn-balor,money-in-the-bank-series-1,assets/images/finn-balor-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,finn-balor,Finn Bálor,finn-balor,money-in-the-bank-series-1,assets/images/finn-balor-menu.webp,,Canonical menu/hero image
superstar-headshot,finn-balor,Finn Bálor,finn-balor,money-in-the-bank-series-1,assets/images/finn-balor-headshot.webp,,Canonical compact headshot
superstar-full,danhausen,Danhausen,danhausen,smackdown-series-1,assets/images/danhausen-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,danhausen,Danhausen,danhausen,smackdown-series-1,assets/images/danhausen-menu.webp,,Canonical menu/hero image
superstar-headshot,danhausen,Danhausen,danhausen,smackdown-series-1,assets/images/danhausen-headshot.webp,,Canonical compact headshot
superstar-full,tiffany-stratton,Tiffany Stratton,tiffany-stratton,smackdown-series-1,assets/images/tiffany-stratton-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,tiffany-stratton,Tiffany Stratton,tiffany-stratton,smackdown-series-1,assets/images/tiffany-stratton-menu.webp,,Canonical menu/hero image
superstar-headshot,tiffany-stratton,Tiffany Stratton,tiffany-stratton,smackdown-series-1,assets/images/tiffany-stratton-headshot.webp,,Canonical compact headshot
superstar-full,chelsea-green,Chelsea Green,chelsea-green,smackdown-series-1,assets/images/chelsea-green-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,chelsea-green,Chelsea Green,chelsea-green,smackdown-series-1,assets/images/chelsea-green-menu.webp,,Canonical menu/hero image
superstar-headshot,chelsea-green,Chelsea Green,chelsea-green,smackdown-series-1,assets/images/chelsea-green-headshot.webp,,Canonical compact headshot
superstar-full,damian-priest,Damian Priest,damian-priest,smackdown-series-1,assets/images/damian-priest-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,damian-priest,Damian Priest,damian-priest,smackdown-series-1,assets/images/damian-priest-menu.webp,,Canonical menu/hero image
superstar-headshot,damian-priest,Damian Priest,damian-priest,smackdown-series-1,assets/images/damian-priest-headshot.webp,,Canonical compact headshot
superstar-full,bron-breakker,Bron Breakker,bron-breakker,survivor-series-series-1,assets/images/bron-breakker-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,bron-breakker,Bron Breakker,bron-breakker,survivor-series-series-1,assets/images/bron-breakker-menu.webp,,Canonical menu/hero image
superstar-headshot,bron-breakker,Bron Breakker,bron-breakker,survivor-series-series-1,assets/images/bron-breakker-headshot.webp,,Canonical compact headshot
superstar-full,drew-mcintyre,Drew McIntyre,drew-mcintyre,survivor-series-series-1,assets/images/drew-mcintyre-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,drew-mcintyre,Drew McIntyre,drew-mcintyre,survivor-series-series-1,assets/images/drew-mcintyre-menu.webp,,Canonical menu/hero image
superstar-headshot,drew-mcintyre,Drew McIntyre,drew-mcintyre,survivor-series-series-1,assets/images/drew-mcintyre-headshot.webp,,Canonical compact headshot
superstar-full,randy-orton,Randy Orton,randy-orton,ruthless-aggression-series-1,assets/images/randy-orton-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,randy-orton,Randy Orton,randy-orton,ruthless-aggression-series-1,assets/images/randy-orton-menu.webp,,Canonical menu/hero image
superstar-headshot,randy-orton,Randy Orton,randy-orton,ruthless-aggression-series-1,assets/images/randy-orton-headshot.webp,,Canonical compact headshot
superstar-full,sami-zayn,Sami Zayn,sami-zayn,survivor-series-series-1,assets/images/sami-zayn-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,sami-zayn,Sami Zayn,sami-zayn,survivor-series-series-1,assets/images/sami-zayn-menu.webp,,Canonical menu/hero image
superstar-headshot,sami-zayn,Sami Zayn,sami-zayn,survivor-series-series-1,assets/images/sami-zayn-headshot.webp,,Canonical compact headshot
superstar-full,jacob-fatu,Jacob Fatu,jacob-fatu,survivor-series-series-1,assets/images/jacob-fatu-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,jacob-fatu,Jacob Fatu,jacob-fatu,survivor-series-series-1,assets/images/jacob-fatu-menu.webp,,Canonical menu/hero image
superstar-headshot,jacob-fatu,Jacob Fatu,jacob-fatu,survivor-series-series-1,assets/images/jacob-fatu-headshot.webp,,Canonical compact headshot
superstar-full,solo-sikoa,Solo Sikoa,solo-sikoa,survivor-series-series-1,assets/images/solo-sikoa-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,solo-sikoa,Solo Sikoa,solo-sikoa,survivor-series-series-1,assets/images/solo-sikoa-menu.webp,,Canonical menu/hero image
superstar-headshot,solo-sikoa,Solo Sikoa,solo-sikoa,survivor-series-series-1,assets/images/solo-sikoa-headshot.webp,,Canonical compact headshot
superstar-full,jade-cargill,Jade Cargill,jade-cargill,survivor-series-series-1,assets/images/jade-cargill-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,jade-cargill,Jade Cargill,jade-cargill,survivor-series-series-1,assets/images/jade-cargill-menu.webp,,Canonical menu/hero image
superstar-headshot,jade-cargill,Jade Cargill,jade-cargill,survivor-series-series-1,assets/images/jade-cargill-headshot.webp,,Canonical compact headshot
superstar-full,nia-jax,Nia Jax,nia-jax,survivor-series-series-1,assets/images/nia-jax-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,nia-jax,Nia Jax,nia-jax,survivor-series-series-1,assets/images/nia-jax-menu.webp,,Canonical menu/hero image
superstar-headshot,nia-jax,Nia Jax,nia-jax,survivor-series-series-1,assets/images/nia-jax-headshot.webp,,Canonical compact headshot
superstar-full,goldberg,Goldberg,goldberg,season-2-whos-next,assets/images/goldberg-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,goldberg,Goldberg,goldberg,season-2-whos-next,assets/images/goldberg-menu.webp,,Canonical menu/hero image
superstar-headshot,goldberg,Goldberg,goldberg,season-2-whos-next,assets/images/goldberg-headshot.webp,,Canonical compact headshot
superstar-full,joe-hendry,Joe Hendry,joe-hendry,raw-series-1,assets/images/joe-hendry-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,joe-hendry,Joe Hendry,joe-hendry,raw-series-1,assets/images/joe-hendry-menu.webp,,Canonical menu/hero image
superstar-headshot,joe-hendry,Joe Hendry,joe-hendry,raw-series-1,assets/images/joe-hendry-headshot.webp,,Canonical compact headshot
superstar-full,roxanne-perez,Roxanne Perez,roxanne-perez,raw-series-1,assets/images/roxanne-perez-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,roxanne-perez,Roxanne Perez,roxanne-perez,raw-series-1,assets/images/roxanne-perez-menu.webp,,Canonical menu/hero image
superstar-headshot,roxanne-perez,Roxanne Perez,roxanne-perez,raw-series-1,assets/images/roxanne-perez-headshot.webp,,Canonical compact headshot
superstar-full,austin-theory,Austin Theory,austin-theory,raw-series-1,assets/images/austin-theory-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,austin-theory,Austin Theory,austin-theory,raw-series-1,assets/images/austin-theory-menu.webp,,Canonical menu/hero image
superstar-headshot,austin-theory,Austin Theory,austin-theory,raw-series-1,assets/images/austin-theory-headshot.webp,,Canonical compact headshot
superstar-full,montez-ford,Montez Ford,montez-ford,raw-series-1,assets/images/montez-ford-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,montez-ford,Montez Ford,montez-ford,raw-series-1,assets/images/montez-ford-menu.webp,,Canonical menu/hero image
superstar-headshot,montez-ford,Montez Ford,montez-ford,raw-series-1,assets/images/montez-ford-headshot.webp,,Canonical compact headshot
superstar-full,lola-vice,Lola Vice,lola-vice,worlds-collide-series-1,assets/images/lola-vice-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,lola-vice,Lola Vice,lola-vice,worlds-collide-series-1,assets/images/lola-vice-menu.webp,,Canonical menu/hero image
superstar-headshot,lola-vice,Lola Vice,lola-vice,worlds-collide-series-1,assets/images/lola-vice-headshot.webp,,Canonical compact headshot
superstar-full,dragon-lee,Dragon Lee,dragon-lee,worlds-collide-series-1,assets/images/dragon-lee-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,dragon-lee,Dragon Lee,dragon-lee,worlds-collide-series-1,assets/images/dragon-lee-menu.webp,,Canonical menu/hero image
superstar-headshot,dragon-lee,Dragon Lee,dragon-lee,worlds-collide-series-1,assets/images/dragon-lee-headshot.webp,,Canonical compact headshot
superstar-full,hijo-del-vikingo,Hijo del Vikingo,hijo-del-vikingo,worlds-collide-series-1,assets/images/hijo-del-vikingo-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,hijo-del-vikingo,Hijo del Vikingo,hijo-del-vikingo,worlds-collide-series-1,assets/images/hijo-del-vikingo-menu.webp,,Canonical menu/hero image
superstar-headshot,hijo-del-vikingo,Hijo del Vikingo,hijo-del-vikingo,worlds-collide-series-1,assets/images/hijo-del-vikingo-headshot.webp,,Canonical compact headshot
superstar-full,mr-iguana,Mr. Iguana,mr-iguana,worlds-collide-series-1,assets/images/mr-iguana-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,mr-iguana,Mr. Iguana,mr-iguana,worlds-collide-series-1,assets/images/mr-iguana-menu.webp,,Canonical menu/hero image
superstar-headshot,mr-iguana,Mr. Iguana,mr-iguana,worlds-collide-series-1,assets/images/mr-iguana-headshot.webp,,Canonical compact headshot
superstar-full,bret-hart,Bret Hart,bret-hart,new-generation-series-1,assets/images/bret-hart-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,bret-hart,Bret Hart,bret-hart,new-generation-series-1,assets/images/bret-hart-menu.webp,,Canonical menu/hero image
superstar-headshot,bret-hart,Bret Hart,bret-hart,new-generation-series-1,assets/images/bret-hart-headshot.webp,,Canonical compact headshot
superstar-full,shawn-michaels,Shawn Michaels,shawn-michaels,new-generation-series-1,assets/images/shawn-michaels-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,shawn-michaels,Shawn Michaels,shawn-michaels,new-generation-series-1,assets/images/shawn-michaels-menu.webp,,Canonical menu/hero image
superstar-headshot,shawn-michaels,Shawn Michaels,shawn-michaels,new-generation-series-1,assets/images/shawn-michaels-headshot.webp,,Canonical compact headshot
superstar-full,razor-ramon,Razor Ramon,razor-ramon,new-generation-series-1,assets/images/razor-ramon-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,razor-ramon,Razor Ramon,razor-ramon,new-generation-series-1,assets/images/razor-ramon-menu.webp,,Canonical menu/hero image
superstar-headshot,razor-ramon,Razor Ramon,razor-ramon,new-generation-series-1,assets/images/razor-ramon-headshot.webp,,Canonical compact headshot
superstar-full,diesel,Diesel,diesel,new-generation-series-1,assets/images/diesel-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,diesel,Diesel,diesel,new-generation-series-1,assets/images/diesel-menu.webp,,Canonical menu/hero image
superstar-headshot,diesel,Diesel,diesel,new-generation-series-1,assets/images/diesel-headshot.webp,,Canonical compact headshot
superstar-full,doink-the-clown,Doink the Clown,doink-the-clown,new-generation-series-1,assets/images/doink-the-clown-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,doink-the-clown,Doink the Clown,doink-the-clown,new-generation-series-1,assets/images/doink-the-clown-menu.webp,,Canonical menu/hero image
superstar-headshot,doink-the-clown,Doink the Clown,doink-the-clown,new-generation-series-1,assets/images/doink-the-clown-headshot.webp,,Canonical compact headshot
superstar-full,yokozuna,Yokozuna,yokozuna,new-generation-series-1,assets/images/yokozuna-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,yokozuna,Yokozuna,yokozuna,new-generation-series-1,assets/images/yokozuna-menu.webp,,Canonical menu/hero image
superstar-headshot,yokozuna,Yokozuna,yokozuna,new-generation-series-1,assets/images/yokozuna-headshot.webp,,Canonical compact headshot
superstar-full,owen-hart,Owen Hart,owen-hart,new-generation-series-1,assets/images/owen-hart-superstar.webp,,Canonical Superstar card/full portrait
superstar-menu,owen-hart,Owen Hart,owen-hart,new-generation-series-1,assets/images/owen-hart-menu.webp,,Canonical menu/hero image
superstar-headshot,owen-hart,Owen Hart,owen-hart,new-generation-series-1,assets/images/owen-hart-headshot.webp,,Canonical compact headshot
